entry,exit,qty,pnl,net_pnl,return,reason
534.7,524.0060000000001,5,-5346.99999999998,-5421.99999999998,-2.028053113895635,SL
318.0,311.64,4,-2544.0000000000055,-2619.0000000000055,-2.0589622641509475,SL
297.5,291.55,7,-4164.999999999992,-4239.999999999992,-2.036014405762301,SL
323.0,316.54,7,-4521.999999999985,-4596.999999999985,-2.0331711632021165,SL
281.0,275.38,7,-3934.000000000003,-4009.000000000003,-2.0381291306558227,SL
306.2,300.07599999999996,7,-4286.800000000017,-4361.800000000017,-2.0349911355789945,SL
350.2,343.19599999999997,9,-6303.600000000017,-6378.600000000017,-2.0237959261374505,SL
404.5,396.40999999999997,10,-8090.000000000032,-8165.000000000032,-2.0185414091471032,SL
396.7,388.76599999999996,9,-7140.600000000023,-7215.600000000023,-2.0210066380976452,SL
316.8,310.464,12,-7603.200000000015,-7678.200000000015,-2.019728535353539,SL
417.8,409.444,3,-2506.7999999999984,-2581.7999999999984,-2.059837242699855,SL
424.0,415.52,6,-5088.000000000011,-5163.000000000011,-2.029481132075476,SL
389.5,381.71,10,-7790.00000000002,-7865.00000000002,-2.019255455712457,SL
352.5,345.45,6,-4230.000000000007,-4305.000000000007,-2.035460992907805,SL
393.6,385.728,11,-8659.200000000015,-8734.200000000015,-2.0173226164079856,SL
395.1,387.19800000000004,9,-7111.799999999988,-7186.799999999988,-2.0210917067409064,SL
296.6,290.668,5,-2966.000000000008,-3041.000000000008,-2.0505731625084342,SL
339.9,333.102,15,-10197.000000000004,-10272.000000000004,-2.0147102088849667,SL
333.9,327.222,7,-4674.5999999999985,-4749.5999999999985,-2.032088307020921,SL
338.3,331.534,6,-4059.6000000000117,-4134.600000000011,-2.0369494531480985,SL
339.3,332.514,9,-6107.4000000000015,-6182.4000000000015,-2.0245603693879564,SL
418.9,410.522,9,-7540.199999999987,-7615.199999999987,-2.0198933715286036,SL
317.1,310.75800000000004,9,-5707.7999999999865,-5782.7999999999865,-2.026279827604326,SL
408.1,399.938,7,-5713.400000000024,-5788.400000000024,-2.0262540693807627,SL
409.0,400.82,11,-8998.000000000007,-9073.000000000007,-2.0166703711936003,SL
500.2,490.19599999999997,8,-8003.200000000015,-8078.200000000015,-2.018742502998804,SL
344.3,337.414,7,-4820.200000000017,-4895.200000000017,-2.0311190407037123,SL
